GENE	CNA	GENIE_CNT	GENIE_FREQ	SAMPLES
LAMB3	AMP	523	0.257002457002457	2035
RYR2	AMP	515	0.253071253071253	2035
USH2A	AMP	511	0.251105651105651	2035
TG	AMP	493	0.242260442260442	2035
COL22A1	AMP	462	0.227027027027027	2035
DCAF4L2	AMP	412	0.202457002457002	2035
STMN2	AMP	384	0.188697788697789	2035
PDE4DIP	AMP	322	0.158230958230958	2035
BCAS3	AMP	192	0.0943488943488943	2035
SHANK2	AMP	186	0.0914004914004914	2035
GH1	AMP	178	0.0874692874692875	2035
CDKN2A	DEL	12086	0.0871282846123346	138715
CDKN2B	DEL	11082	0.0810798946444249	136680
AFDN	AMP	117	0.0623667377398721	1876
BIRC6	AMP	114	0.0595922634605332	1913
MUC16	AMP	107	0.0525798525798526	2035
PRKCQ	AMP	97	0.0476658476658477	2035
DNAH5	AMP	82	0.0402948402948403	2035
MYC	AMP	5292	0.0384040406972525	137798
CCND1	AMP	4605	0.0334184821260105	137798
MTAP	DEL	3754	0.0327780106174909	114528
FGF19	AMP	3459	0.0326191509024726	106042
FGF4	AMP	3301	0.0314608669131943	104924
FGF3	AMP	3238	0.0305350710096	106042
ERBB2	AMP	4007	0.0286556106212411	139833
DNAH11	AMP	58	0.0285012285012285	2035
MDM2	AMP	3821	0.0277289946153065	137798
SIK1	AMP	56	0.0275184275184275	2035
FAM20C	AMP	54	0.0265356265356265	2035
HDAC9	AMP	53	0.026044226044226	2035
EGFR	AMP	3533	0.0252658528387434	139833
AGMO	AMP	50	0.0245700245700246	2035
MYO3A	AMP	49	0.0240786240786241	2035
THSD7A	AMP	48	0.0235872235872236	2035
AGO2	AMP	1743	0.0231630985129371	75249
NSD3	AMP	1730	0.0229903387420431	75249
LIFR	AMP	63	0.0229508196721311	2745
LAMA2	AMP	46	0.0226044226044226	2035
ZNF703	AMP	151	0.0221277842907386	6824
KLRG1	AMP	43	0.0211302211302211	2035
FGFR1	AMP	2905	0.0210815831869838	137798
RECQL4	AMP	2209	0.02050782156617	107715
PPP2CB	AMP	41	0.0201474201474201	2035
UBR5	AMP	494	0.0198505183637386	24886
SYNE1	AMP	40	0.0196560196560197	2035
CDK4	AMP	2646	0.0192020203486262	137798
CCNE1	AMP	2577	0.0187012873916893	137798
TTYH1	AMP	37	0.0181818181818182	2035
LIPI	AMP	36	0.0176904176904177	2035
POLR3A	AMP	12	0.0169014084507042	710
AKAP9	AMP	45	0.0163934426229508	2745
GLDC	AMP	33	0.0162162162162162	2035
L1CAM	AMP	33	0.0162162162162162	2035
LONP2	AMP	33	0.0162162162162162	2035
SIAH1	AMP	33	0.0162162162162162	2035
UTRN	AMP	33	0.0162162162162162	2035
CDK12	AMP	2182	0.0159642961662277	136680
AHNAK2	AMP	32	0.0157248157248157	2035
GPR32	AMP	32	0.0157248157248157	2035
PTEN	DEL	2165	0.0156075406408824	138715
ARFRP1	AMP	104	0.0152403282532239	6824
RAD21	AMP	2038	0.0149886004265647	135970
TERT	AMP	1971	0.014967649828377	131684
EMSY	AMP	45	0.0148957298907646	3021
PAK1	AMP	1126	0.0148237865164102	75959
FRS2	AMP	98	0.0143610785463072	6824
AFF2	AMP	29	0.0142506142506142	2035
MAGEA8	AMP	29	0.0142506142506142	2035
PTPRM	AMP	29	0.0142506142506142	2035
ADGRA2	AMP	86	0.0140660778541053	6114
ELOC	AMP	997	0.0132493455062526	75249
KRAS	AMP	1813	0.0129654659486673	139833
MCL1	AMP	1726	0.0125255809228	137798
MAP3K10	AMP	25	0.0122850122850123	2035
NRG3	AMP	25	0.0122850122850123	2035
RB1	DEL	1683	0.0121327902533973	138715
RTEL1	AMP	1175	0.0119775739041794	98100
PRKG1	AMP	24	0.0117936117936118	2035
H3C14	AMP	864	0.0114818801578759	75249
FGF10	AMP	77	0.0112837045720985	6824
SDHA	AMP	1538	0.0112525607257829	136680
DUSP4	DEL	832	0.0110566253372138	75249
SETDB2	DEL	249	0.0108966784823421	22851
KLLN	DEL	344	0.0108325985640509	31756
PRKCE	AMP	22	0.0108108108108108	2035
PRDM14	AMP	809	0.0107509734348629	75249
FGF23	AMP	73	0.0106975381008206	6824
SOX17	AMP	785	0.0103345225713872	75959
SGCD	AMP	21	0.0103194103194103	2035
GNAS	AMP	1409	0.010308750365818	136680
ZNF217	AMP	400	0.0100760743614288	39698
NKX3-1	DEL	1078	0.0100742955936638	107005
FGF6	AMP	68	0.00996483001172333	6824
PREX2	AMP	812	0.00989363127947072	82073
RPS6KB2	AMP	739	0.00972893271370081	75959
BCL2L1	AMP	1105	0.00961312604939668	114947
FOXA1	AMP	1034	0.00959940583948382	107715
AKT2	AMP	1338	0.00956855677844286	139833
TEK	DEL	763	0.00945043784138623	80737
NCOA3	AMP	728	0.00941980228766627	77284
AHNAK	AMP	19	0.00933660933660934	2035
MBL2	AMP	19	0.00933660933660934	2035
NBN	AMP	1242	0.00912872829905773	136054
NKX2-1	AMP	1215	0.00886292016806723	137088
FGF14	AMP	60	0.00879249706916764	6824
TP53	DEL	1219	0.0087878023285153	138715
GLI1	AMP	981	0.00861819044356008	113829
LYN	AMP	707	0.00861428240712536	82073
ELF3	AMP	644	0.00855825326582413	75249
CCND2	AMP	1172	0.00850520326855252	137798
NFKBIA	AMP	965	0.00847762872378744	113829
TAF4B	AMP	17	0.00835380835380835	2035
SETDB1	AMP	826	0.0082488640335547	100135
SPTA1	AMP	56	0.0082063305978898	6824
KAT6A	AMP	308	0.007983411093831	38580
COL12A1	AMP	16	0.00786240786240786	2035
