gene;collection
ABL1;GOBP_MISMATCH_REPAIR
APTX;GOMF_MISMATCHED_DNA_BINDING
ATR;GOMF_MISMATCH_REPAIR_COMPLEX_BINDING
AXIN2;GOBP_MISMATCH_REPAIR
EXO1;GOBP_MISMATCH_REPAIR, WP_DNA_MISMATCH_REPAIR
HDAC10;GOBP_MISMATCH_REPAIR
HMGB1;GOBP_MISMATCH_REPAIR
LIG1;GOBP_MISMATCH_REPAIR, WP_DNA_MISMATCH_REPAIR
MCM8;GOBP_MISMATCH_REPAIR, GOMF_MISMATCH_REPAIR_COMPLEX_BINDING
MCM9;GOBP_MISMATCH_REPAIR, GOMF_MISMATCH_REPAIR_COMPLEX_BINDING
MLH1;GOBP_MISMATCH_REPAIR, GOCC_MISMATCH_REPAIR_COMPLEX, GOMF_MISMATCH_REPAIR_COMPLEX_BINDING, GOMF_MISMATCHED_DNA_BINDING, WP_DNA_MISMATCH_REPAIR
MLH3;GOBP_MISMATCH_REPAIR, GOCC_MISMATCH_REPAIR_COMPLEX, GOMF_MISMATCHED_DNA_BINDING
MSH2;GOBP_MISMATCH_REPAIR, GOCC_MISMATCH_REPAIR_COMPLEX, GOMF_MISMATCH_REPAIR_COMPLEX_BINDING, GOMF_MISMATCHED_DNA_BINDING, WP_DNA_MISMATCH_REPAIR
MSH3;GOBP_MISMATCH_REPAIR, GOCC_MISMATCH_REPAIR_COMPLEX, GOMF_MISMATCHED_DNA_BINDING
MSH4;GOBP_MISMATCH_REPAIR, GOMF_MISMATCHED_DNA_BINDING
MSH5;GOBP_MISMATCH_REPAIR, GOMF_MISMATCHED_DNA_BINDING
MSH6;GOBP_MISMATCH_REPAIR, GOCC_MISMATCH_REPAIR_COMPLEX, GOMF_MISMATCH_REPAIR_COMPLEX_BINDING, GOMF_MISMATCHED_DNA_BINDING, WP_DNA_MISMATCH_REPAIR
MUTYH;GOBP_MISMATCH_REPAIR, GOMF_MISMATCH_REPAIR_COMPLEX_BINDING, GOMF_MISMATCHED_DNA_BINDING
PCNA;GOBP_MISMATCH_REPAIR, GOMF_MISMATCH_REPAIR_COMPLEX_BINDING, GOMF_MISMATCHED_DNA_BINDING, WP_DNA_MISMATCH_REPAIR
PMS1;GOBP_MISMATCH_REPAIR, GOCC_MISMATCH_REPAIR_COMPLEX, GOMF_MISMATCHED_DNA_BINDING
PMS2;GOBP_MISMATCH_REPAIR, GOCC_MISMATCH_REPAIR_COMPLEX, GOMF_MISMATCH_REPAIR_COMPLEX_BINDING, GOMF_MISMATCHED_DNA_BINDING, WP_DNA_MISMATCH_REPAIR
PMS2P1;GOBP_MISMATCH_REPAIR, GOCC_MISMATCH_REPAIR_COMPLEX
PMS2P3;GOBP_MISMATCH_REPAIR, GOCC_MISMATCH_REPAIR_COMPLEX
PMS2P5;GOBP_MISMATCH_REPAIR, GOCC_MISMATCH_REPAIR_COMPLEX
PMS2P6;GOBP_MISMATCH_REPAIR, GOCC_MISMATCH_REPAIR_COMPLEX
POLD1;WP_DNA_MISMATCH_REPAIR
POLD2;WP_DNA_MISMATCH_REPAIR
POLD3;GOBP_MISMATCH_REPAIR, WP_DNA_MISMATCH_REPAIR
POLD4;WP_DNA_MISMATCH_REPAIR
POLE;WP_DNA_MISMATCH_REPAIR
POLE2;WP_DNA_MISMATCH_REPAIR
POLE3;WP_DNA_MISMATCH_REPAIR
POLE4;WP_DNA_MISMATCH_REPAIR
PRKCG;GOBP_MISMATCH_REPAIR
RFC1;WP_DNA_MISMATCH_REPAIR
RFC2;WP_DNA_MISMATCH_REPAIR
RFC3;WP_DNA_MISMATCH_REPAIR
RFC4;WP_DNA_MISMATCH_REPAIR
RFC5;WP_DNA_MISMATCH_REPAIR
RNASEH2A;GOBP_MISMATCH_REPAIR
RNASEH2B;GOBP_MISMATCH_REPAIR
RNASEH2C;GOBP_MISMATCH_REPAIR
RPA1;GOBP_MISMATCH_REPAIR, WP_DNA_MISMATCH_REPAIR
RPA2;GOBP_MISMATCH_REPAIR, WP_DNA_MISMATCH_REPAIR
RPA3;GOBP_MISMATCH_REPAIR, WP_DNA_MISMATCH_REPAIR
SETD2;GOBP_MISMATCH_REPAIR
TDG;GOMF_MISMATCHED_DNA_BINDING
TP73;GOBP_MISMATCH_REPAIR
TREX1;GOBP_MISMATCH_REPAIR, GOMF_MISMATCH_REPAIR_COMPLEX_BINDING
WRN;GOMF_MISMATCH_REPAIR_COMPLEX_BINDING
XPC;GOBP_MISMATCH_REPAIR, GOMF_MISMATCHED_DNA_BINDING
