GENE	GENE_ENTREZ	ONCOGENE	TSG	DRIVER	CANONICAL_DRIVER	ONCOGENE_EVIDENCES	TSG_EVIDENCES
A1CF	29974	TRUE	FALSE	TRUE	TRUE	1	0
A2ML1	144568	FALSE	FALSE	TRUE	FALSE	0	0
AADACL4	343066	FALSE	FALSE	TRUE	FALSE	0	0
ABCA10	10349	FALSE	FALSE	TRUE	FALSE	0	0
ABCA13	154664	FALSE	FALSE	TRUE	FALSE	0	0
ABCA7	10347	FALSE	FALSE	TRUE	FALSE	0	0
ABCB1	5243	FALSE	FALSE	TRUE	FALSE	0	0
ABCB5	340273	FALSE	FALSE	TRUE	FALSE	0	0
ABCC3	8714	FALSE	FALSE	TRUE	FALSE	0	0
ABCC5	10057	FALSE	FALSE	TRUE	FALSE	0	0
ABCC9	10060	FALSE	FALSE	TRUE	FALSE	0	0
ABCD1	215	FALSE	FALSE	TRUE	FALSE	0	0
ABCF1	23	FALSE	FALSE	TRUE	FALSE	0	0
ABCF2	10061	FALSE	FALSE	TRUE	FALSE	0	0
ABCG2	9429	FALSE	FALSE	TRUE	FALSE	0	0
ABCG8	64241	FALSE	FALSE	TRUE	FALSE	0	0
ABHD15	116236	FALSE	FALSE	TRUE	FALSE	0	0
ABI1	10006	FALSE	TRUE	TRUE	TRUE	0	1
ABI3	51225	FALSE	FALSE	TRUE	FALSE	0	0
ABL1	25	TRUE	FALSE	TRUE	TRUE	2	0
ABL2	27	TRUE	FALSE	TRUE	TRUE	1	0
ABLIM2	84448	FALSE	FALSE	TRUE	FALSE	0	0
ACAN	176	FALSE	FALSE	TRUE	FALSE	0	0
ACD	65057	FALSE	FALSE	TRUE	FALSE	0	0
ACE	1636	FALSE	FALSE	TRUE	FALSE	0	0
ACKR3	57007	TRUE	FALSE	TRUE	TRUE	1	0
ACO1	48	FALSE	FALSE	TRUE	FALSE	0	0
ACOXL	55289	FALSE	FALSE	TRUE	FALSE	0	0
ACSL6	23305	FALSE	FALSE	TRUE	FALSE	0	0
ACSM1	116285	FALSE	FALSE	TRUE	FALSE	0	0
ACSM2A	123876	FALSE	FALSE	TRUE	FALSE	0	0
ACSM4	341392	FALSE	FALSE	TRUE	FALSE	0	0
ACTB	60	FALSE	FALSE	TRUE	FALSE	0	0
ACTG1	71	FALSE	FALSE	TRUE	FALSE	0	0
ACTL6B	51412	FALSE	FALSE	TRUE	FALSE	0	0
ACTL7B	10880	FALSE	FALSE	TRUE	FALSE	0	0
ACVR1	90	TRUE	FALSE	TRUE	TRUE	1	0
ACVR1B	91	FALSE	TRUE	TRUE	TRUE	0	1
ACVR2A	92	FALSE	TRUE	TRUE	TRUE	0	1
ACVR2B	93	FALSE	FALSE	TRUE	FALSE	0	0
ADAM10	102	FALSE	FALSE	TRUE	FALSE	0	0
ADAM2	2515	FALSE	FALSE	TRUE	FALSE	0	0
ADAM22	53616	FALSE	FALSE	TRUE	FALSE	0	0
ADAM29	11086	FALSE	FALSE	TRUE	FALSE	0	0
ADAM7	8756	FALSE	FALSE	TRUE	FALSE	0	0
ADAMTS12	81792	FALSE	FALSE	TRUE	FALSE	0	0
ADAMTS17	170691	FALSE	FALSE	TRUE	FALSE	0	0
ADAMTS18	170692	FALSE	FALSE	TRUE	FALSE	0	0
ADAMTS19	171019	FALSE	FALSE	TRUE	FALSE	0	0
ADAMTS20	80070	FALSE	FALSE	TRUE	FALSE	0	0
ADAMTS3	9508	FALSE	FALSE	TRUE	FALSE	0	0
