chrom	arm	side	start	end
chr1	1p	p	0	123400000
chr1	1q	q	123400000	248956422
chr2	2p	p	0	93900000
chr2	2q	q	93900000	242193529
chr3	3p	p	0	90900000
chr3	3q	q	90900000	198295559
chr4	4p	p	0	50000000
chr4	4q	q	50000000	190214555
chr5	5p	p	0	48800000
chr5	5q	q	48800000	181538259
chr6	6p	p	0	59800000
chr6	6q	q	59800000	170805979
chr7	7p	p	0	60100000
chr7	7q	q	60100000	159345973
chr8	8p	p	0	45200000
chr8	8q	q	45200000	145138636
chr9	9p	p	0	43000000
chr9	9q	q	43000000	138394717
chr10	10p	p	0	39800000
chr10	10q	q	39800000	133797422
chr11	11p	p	0	53400000
chr11	11q	q	53400000	135086622
chr12	12p	p	0	35500000
chr12	12q	q	35500000	133275309
chr13	13p	p	0	17700000
chr13	13q	q	17700000	114364328
chr14	14p	p	0	17200000
chr14	14q	q	17200000	107043718
chr15	15p	p	0	19000000
chr15	15q	q	19000000	101991189
chr16	16p	p	0	36800000
chr16	16q	q	36800000	90338345
chr17	17p	p	0	25100000
chr17	17q	q	25100000	83257441
chr18	18p	p	0	18500000
chr18	18q	q	18500000	80373285
chr19	19p	p	0	26200000
chr19	19q	q	26200000	58617616
chr20	20p	p	0	28100000
chr20	20q	q	28100000	64444167
chr21	21p	p	0	12000000
chr21	21q	q	12000000	46709983
chr22	22p	p	0	15000000
chr22	22q	q	15000000	50818468
chrX	Xp	p	0	61000000
chrX	Xq	q	61000000	156040895
chrY	Yp	p	0	10400000
chrY	Yq	q	10400000	57227415
